Node,Cluster
0,1
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,2
9,2
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,4
36,4
37,4
38,4
39,4
40,2
41,2
42,2
43,2
44,2
45,1
46,1
47,1
48,1
49,1
50,2
51,2
52,2
53,2
54,2
55,5
56,5
57,5
58,5
59,5
60,1
61,1
62,1
63,1
64,1
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,2
81,2
82,2
83,2
84,2
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,4
96,4
97,4
98,4
99,4
100,3
101,3
102,3
103,3
104,3
105,4
106,4
107,4
108,4
109,4
110,3
111,3
112,3
113,3
114,3
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
