Node,Cluster
0,1
1,5
2,7
3,1
4,4
5,4
6,10
7,9
8,2
9,1
10,12
11,2
12,6
13,11
14,1
15,5
16,3
17,6
18,5
19,5
20,8
21,1
22,11
23,8
24,11
25,8
26,11
27,4
28,3
29,5
30,7
31,8
32,8
33,3
34,6
35,4
36,2
37,7
38,11
39,11
40,6
41,11
42,9
43,6
44,2
45,8
46,10
47,4
48,12
49,5
50,4
51,8
52,7
53,9
54,3
55,7
56,4
57,8
58,1
59,8
60,9
61,3
62,3
63,12
64,9
65,6
66,11
67,5
68,7
69,7
70,11
71,6
72,7
73,10
74,9
75,9
76,11
77,12
78,9
79,3
80,12
81,11
82,9
83,1
84,2
85,1
86,11
87,6
88,4
89,5
90,9
91,11
92,6
93,10
94,2
95,12
96,3
97,6
98,2
99,8
100,7
101,4
102,5
103,4
104,8
105,4
106,4
107,2
108,1
109,4
110,4
111,4
112,8
113,3
114,9
